labels,55,95,114,137,174,232,251,261,326,365,403,411,461,471,478,498,517,524,555,573,593,669,693,734,790,848,916,934,986
4,7.67,24.4,35.3,317,491,268,306,-11.8,9,392,171,4.05,162.0,201.0,13,308,476,0.237,505,578,290,496,9.41,3.48,-0.185,5.33,13,262,1.6
4,5.7,16.1,31.5,14,282,134,94,-6.2,276,302,317,3.13,106.0,182.0,49,172,133,0.382,22,116,66,100,7.58,4.13,-0.369,5.04,45,46,1.33
4,7.92,22.2,20.7,208,150,30,310,2.84,74,246,246,5.03,107.0,180.0,78,212,41,0.583,306,207,266,209,8.39,3.85,-0.72,4.78,237,237,2.09
4,4.32,10.3,11.2,308,57,219,100,-6.39,54,311,307,1.63,167.0,266.0,205,79,363,0.15,56,105,297,379,6.51,3.19,-1.05,6.13,53,266,3.22
4,12.1,25.0,32.4,631,421,44,688,-8.97,344,599,447,4.35,171.0,265.0,399,551,551,0.116,646,587,137,603,9.37,3.47,-0.244,7.5,9,457,1.89
4,10.4,21.5,27.3,291,730,311,21,2.6,204,509,381,1.93,162.0,265.0,191,277,216,0.484,728,475,84,384,5.28,3.99,0.154,7.29,207,305,1.94
4,8.92,26.2,38.1,407,508,429,618,-5.09,291,236,312,3.89,73.7,169.0,679,210,42,0.317,46,588,5,212,10.2,4.1,-0.262,5.17,165,534,0.327
4,8.74,12.4,38.4,433,81,86,43,-2.24,400,78,314,5.28,194.0,261.0,199,451,451,0.153,73,434,154,486,9.61,3.69,-0.407,5.77,426,16,3.05
4,8.17,14.9,20.6,153,129,37,116,-7.33,0,27,93,19.2,147.0,221.0,17,29,53,0.642,68,9,165,11,10.8,2.55,-0.304,5.13,11,103,1.98
4,10.4,14.4,44.5,454,384,169,21,0.723,368,200,64,3.91,166.0,218.0,12,126,168,0.2,55,359,159,215,11.2,2.84,0.269,4.41,417,138,2.07
4,15.6,23.1,31.3,28,192,41,82,-2.28,344,515,409,5.08,123.0,219.0,316,56,377,0.333,450,25,114,205,7.44,4.03,-0.0955,6.86,27,114,1.3
4,7.7,18.8,20.7,309,198,59,152,-7.77,342,457,33,1.38,158.0,218.0,286,159,159,0.418,113,123,406,354,11.8,3.57,-0.0193,4.56,404,436,1.7
4,9.82,13.5,35.3,87,61,104,41,-15.4,95,24,158,1.82,134.0,209.0,102,63,110,0.0962,101,179,159,119,9.34,3.45,0.17,2.54,100,37,2.81
4,10.7,18.8,25.8,219,159,76,47,-1.85,96,52,249,1.92,93.5,186.0,12,46,23,0.256,219,221,181,40,7.05,3.84,0.427,7.28,281,39,0.264
4,8.21,20.0,21.8,527,303,171,350,-6.63,211,288,446,4.27,159.0,209.0,245,274,274,0.0976,297,517,459,24,9.44,3.35,-0.25,6.77,255,46,2.15
4,10.2,18.7,38.2,203,297,190,129,-8.78,18,212,187,3.28,132.0,224.0,218,62,157,0.0875,186,160,128,207,15.8,3.96,0.0868,4.55,21,48,0.997
4,7.35,20.2,40.8,40,71,134,101,-6.1,9,87,217,3.99,166.0,233.0,66,21,207,0.128,17,10,11,152,13.1,3.36,0.0566,6.78,11,90,1.78
4,9.28,24.5,29.3,321,130,366,91,-11.1,444,350,41,7.04,155.0,245.0,425,21,21,0.256,270,79,213,496,10.6,3.63,-0.542,6.38,287,345,0.771
4,13.2,19.1,26.1,125,268,115,309,-6.7,11,324,119,3.54,144.0,220.0,63,180,129,-0.256,240,288,275,158,10.5,3.98,-0.0949,5.51,19,142,1.7
4,17.0,16.8,13.7,97,101,144,196,-3.69,307,552,608,2.17,165.0,263.0,423,71,55,0.284,137,654,311,117,12.0,4.16,0.124,6.22,312,184,1.92
4,4.6,17.1,30.1,81,563,129,528,-13.4,227,585,115,7.09,173.0,219.0,348,55,145,0.0694,9,203,291,567,9.16,3.16,0.109,4.17,152,102,1.83
4,8.23,29.1,24.2,576,417,388,247,-12.8,4,209,209,6.12,218.0,263.0,19,26,25,0.559,377,198,320,12,7.79,3.18,-0.0835,5.02,12,229,2.95
4,6.19,23.5,29.6,268,276,37,96,-8.02,292,333,607,4.62,153.0,213.0,307,305,305,0.392,385,538,294,229,7.79,3.45,-0.0914,4.76,298,8,3.2
4,14.2,17.9,18.3,192,212,188,125,0.164,99,123,135,1.87,192.0,280.0,352,158,186,-0.0723,138,307,109,311,7.36,4.32,-0.615,7.03,110,113,3.6
4,12.9,23.0,19.7,245,338,423,332,4.73,21,382,133,3.66,127.0,228.0,63,344,344,-0.147,218,308,174,410,7.54,3.79,0.148,5.04,101,207,0.7
4,15.7,22.0,30.3,138,295,181,105,-3.16,34,93,304,1.67,119.0,229.0,208,107,86,0.208,242,191,275,160,11.0,4.35,-0.255,4.35,137,281,1.04
4,8.15,9.58,23.4,140,400,306,324,-10.8,417,41,129,2.84,207.0,266.0,399,46,47,0.046,35,45,638,74,7.99,4.33,-0.164,5.14,430,284,3.11
4,11.1,30.0,30.5,886,274,373,27,-4.33,170,677,399,4.11,122.0,212.0,112,39,40,0.117,258,825,650,781,7.55,3.57,-0.4,6.27,117,409,1.8
4,9.03,22.5,33.3,439,694,754,193,-5.16,527,194,710,2.74,133.0,239.0,305,95,764,0.113,176,288,232,736,9.63,3.31,0.557,4.77,483,619,0.981
4,7.63,16.0,22.1,50,49,435,2,-7.86,469,273,73,4.62,137.0,184.0,241,50,50,0.173,89,531,487,58,7.93,3.73,0.563,3.35,472,136,1.32
4,5.79,14.3,29.2,93,206,263,121,-1.4,12,133,34,2.46,160.0,305.0,165,117,177,0.252,41,37,105,216,9.5,3.04,0.00109,4.04,154,33,4.3
4,18.2,27.9,17.0,355,143,420,145,-1.12,521,320,112,11.5,125.0,233.0,86,97,98,0.502,150,341,309,298,6.91,3.99,-0.312,4.61,341,342,1.27
4,10.4,28.4,34.9,58,196,51,44,-14.0,24,183,279,2.76,223.0,318.0,21,62,112,0.0783,30,213,90,55,11.6,3.55,0.126,3.93,38,33,3.96
4,11.5,27.5,33.6,687,152,259,342,2.23,904,670,353,2.01,141.0,200.0,677,45,45,0.308,769,467,753,338,9.56,3.66,-0.0893,4.12,906,683,1.62
